tweet_id,tweet_text,class_label,event,split,event_set,target_label,clean_text,text_length,word_count,pred_label,correct
1039575638397485056,"Shelters are now operating in Horry, Georgetown, and Florence. If you plan on evacuating to a shelter, remember to bring your disaster relief kit, especially any prescription medications and special food for those in your group with dietary restrictions.",displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,"shelters are now operating in horry, georgetown, and florence. if you plan on evacuating to a shelter, remember to bring your disaster relief kit, especially any prescription medications and special food for those in your group with dietary restrictions.",254,39,Volunteering and Donations,False
906704047222153220,"To search for open shelters, text SHELTER &amp; your zip code to 43362 (4FEMA). For example: SHELTER 32789. #HurricaneIrma #FL07",displaced_people_and_evacuations,hurricane_irma_2017,test,set1,Critical Rescue,"to search for open shelters, text shelter and your zip code to 43362 4fema . for example shelter 32789. hurricaneirma fl07",122,21,Situational Awareness,False
903737798376771584,With everyone who has been hurt and killed by this you are sad that you couldnt lie to women and kill babies? #yousuck #harvey2017,injured_or_dead_people,hurricane_harvey_2017,test,set1,Critical Rescue,with everyone who has been hurt and killed by this you are sad that you couldnt lie to women and kill babies? yousuck harvey2017,128,24,Irrelevant,False
901225616686673920,Yo before Hurricane Harvey kills me anybody wanna admit they got a crush on me.,injured_or_dead_people,hurricane_harvey_2017,test,set1,Critical Rescue,yo before hurricane harvey kills me anybody wanna admit they got a crush on me.,79,15,Irrelevant,False
797874494538797057,"@HunterRowland hunter, in New Zealand we just had a big earthquake! 2 people died and schools are closed! ὡ6 not that you read this but eh..",injured_or_dead_people,kaikoura_earthquake_2016,test,set1,Critical Rescue,"hunter, in new zealand we just had a big earthquake! 2 people died and schools are closed! ὡ6 not that you read this but eh..",125,25,Situational Awareness,False
797856051949281280,"Live: One death confirmed in Kaikoura, tsunami warning for much of NZs east coast after massive quake",injured_or_dead_people,kaikoura_earthquake_2016,test,set1,Critical Rescue,"live one death confirmed in kaikoura, tsunami warning for much of nzs east coast after massive quake",100,17,Situational Awareness,False
913635912445071360,RT @AFP: Rescue teams in Mexico lead last ongoing search operation to find 20 bodies in aftermath of devastating earthquake /,injured_or_dead_people,puebla_mexico_earthquake_2017,test,set1,Critical Rescue,rescue teams in mexico lead last ongoing search operation to find 20 bodies in aftermath of devastating earthquake,114,18,Volunteering and Donations,False
910611122448875521,"Rescuers dig through collapsed school in Mexico City after a 7.1 magnitude earthquake struck, killing hundreds.",injured_or_dead_people,puebla_mexico_earthquake_2017,test,set1,Critical Rescue,"rescuers dig through collapsed school in mexico city after a 7.1 magnitude earthquake struck, killing hundreds.",111,16,Volunteering and Donations,False
908413406239014912,"Flint RiverQuarium takes in Irma animal evacuees, rescues sharks",displaced_people_and_evacuations,hurricane_irma_2017,test,set1,Critical Rescue,"flint riverquarium takes in irma animal evacuees, rescues sharks",64,9,Volunteering and Donations,False
910559739888640000,RT @TrackingSM: 2 fans passed away today bc of the earthquake. My heart is truly aching for those being affected. My thoughts &amp; prayers are,injured_or_dead_people,puebla_mexico_earthquake_2017,test,set1,Critical Rescue,2 fans passed away today bc of the earthquake. my heart is truly aching for those being affected. my thoughts and prayers are,125,23,Irrelevant,False
903062946623889408,".@HumaneSociety rescuers wade through Texas floods to save, evacuate animals from #HurricaneHarvey:",displaced_people_and_evacuations,hurricane_harvey_2017,test,set1,Critical Rescue,". rescuers wade through texas floods to save, evacuate animals from hurricaneharvey",83,12,Volunteering and Donations,False
910709012978716672,RT @Plan_Prep_Live: Many children died in this collapse but some survived to be rescued. #Mexico #earthquake,injured_or_dead_people,puebla_mexico_earthquake_2017,test,set1,Critical Rescue,many children died in this collapse but some survived to be rescued. mexico earthquake,86,14,Volunteering and Donations,False
910576006787825665,RT @azamsahmed: I cant bear this! The cries of the families who lost 30 schoolchildren to the earthquake in Mexico by @Paulina_VV :,injured_or_dead_people,puebla_mexico_earthquake_2017,test,set1,Critical Rescue,i cant bear this! the cries of the families who lost 30 schoolchildren to the earthquake in mexico by,101,19,Irrelevant,False
908305124640116736,"Days after Irmas destruction, residents slowly return to ruined homes",displaced_people_and_evacuations,hurricane_irma_2017,test,set1,Critical Rescue,"days after irmas destruction, residents slowly return to ruined homes",69,10,Situational Awareness,False
906698623949393920,"Shelters, confirmed by @AlexaSantosNBC2 #TrackingIrma #IrmaHurricane2017 #SWFL",displaced_people_and_evacuations,hurricane_irma_2017,test,set1,Critical Rescue,"shelters, confirmed by trackingirma irmahurricane2017 swfl",58,6,Situational Awareness,False
912170393879957504,"Earthquake aftershocks rock #Mexico, over 300 killed. Photos of damage here:  Meanwhile, Tropical Storm #Pilar forms.",injured_or_dead_people,puebla_mexico_earthquake_2017,test,set1,Critical Rescue,"earthquake aftershocks rock mexico, over 300 killed. photos of damage here meanwhile, tropical storm pilar forms.",113,16,Situational Awareness,False
798413119408181248,What are the government doing for those affected by the #eqnz ? A tv3 reporter said that their TV crew called airforce to get heli evac?,displaced_people_and_evacuations,kaikoura_earthquake_2016,test,set1,Critical Rescue,what are the government doing for those affected by the eqnz ? a tv3 reporter said that their tv crew called airforce to get heli evac?,135,26,Irrelevant,False
1041542901816340480,"At 12:20 AM EDT, 1 SE Chapel Hill [Orange Co, NC] EMERGENCY MNGR reports FLASH FLOOD. CAMELOT VILLAGE NEAR BOLIN CREEK IS BEING EVACUATED DUE TO FLASH FLOODING.",displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,"at 12 20 am edt, 1 se chapel hill orange co, nc emergency mngr reports flash flood. camelot village near bolin creek is being evacuated due to flash flooding.",158,29,Situational Awareness,False
721670356986163201,RT @Panda_Brittany1: Ecuador has just experienced an 7.8 magnitude earthquake. There were about 41 deaths. Pray for EcuadorὤFὤF #PrayForEcuad,injured_or_dead_people,ecuador_earthquake_2016,test,set1,Critical Rescue,ecuador has just experienced an 7.8 magnitude earthquake. there were about 41 deaths. pray for ecuadorὤfὤf prayforecuad,119,17,Irrelevant,False
1042014071384690689,RT @RTDNEWS: New from @boyerweather: Remnants of Hurricane Florence gave the Richmond area its first deadly tornado in 20 years,injured_or_dead_people,hurricane_florence_2018,test,set2,Critical Rescue,new from remnants of hurricane florence gave the richmond area its first deadly tornado in 20 years,99,17,Situational Awareness,False
1031515278172016640,"Kerala: Seva Bharati,a community service unit of RSS (pic 1&amp;2) &amp; CPM cadres (pic 3&amp;4) are carrying out rescue&amp;relief ops across the state which is reeling under floods. 357 people have lost their lives in the flood so far. Visuals from Trivandrum, Kumily &amp; Palakkad. #KeralaFloods",injured_or_dead_people,kerala_floods_2018,test,set2,Critical Rescue,"kerala seva bharati,a community service unit of rss pic 1and2 and cpm cadres pic 3and4 are carrying out rescueandrelief ops across the state which is reeling under floods. 357 people have lost their lives in the flood so far. visuals from trivandrum, kumily and palakkad. keralafloods",284,46,Volunteering and Donations,False
906682020423720961,"BREAKING: Irma barrels toward Tampa, forces Floridians to flee their homes  #HurrcaneIrma #Tampa #Irma",displaced_people_and_evacuations,hurricane_irma_2017,test,set1,Critical Rescue,"breaking irma barrels toward tampa, forces floridians to flee their homes hurrcaneirma tampa irma",97,14,Situational Awareness,False
1108265256550350848,"Scenes from Bangula Camp in #Malawi, where residents displaced by storms and flooding have set up makeshift homes. Government officials work on distributing food aid, while children from Mfera Full Primary School take some classes. #CycloneIdai",displaced_people_and_evacuations,cyclone_idai_2019,test,set1,Critical Rescue,"scenes from bangula camp in malawi, where residents displaced by storms and flooding have set up makeshift homes. government officials work on distributing food aid, while children from mfera full primary school take some classes. cycloneidai",242,36,Volunteering and Donations,False
907783198272315393,"If youre heading home on I-95, whether home is in SC, GA, or FL, we have temporary shelters along the way if you need one.",displaced_people_and_evacuations,hurricane_irma_2017,test,set1,Critical Rescue,"if youre heading home on i-95, whether home is in sc, ga, or fl, we have temporary shelters along the way if you need one.",122,25,Situational Awareness,False
913823342112706560,"Hurricane Maria has left a path of destruction and loss of life, the full extent of which has yet to be",injured_or_dead_people,hurricane_maria_2017,test,set1,Critical Rescue,"hurricane maria has left a path of destruction and loss of life, the full extent of which has yet to be",103,21,Situational Awareness,False
1032476641165889537,"RT @khaleejtimes: #KeralaFloods: Heartbroken to find his house damaged, 68-year-old hangs self in #Kochi",injured_or_dead_people,kerala_floods_2018,test,set2,Critical Rescue,"keralafloods heartbroken to find his house damaged, 68-year-old hangs self in kochi",83,12,Situational Awareness,False
1031691374717018112,#IndiaForKerala | Chief Minister Pinarayi Vijayan said 223 people lost their lives between August 8 and 20. Here’s how you can help #KeralaFlood victims:  #KeralaFloods #KeralaFloodRelief #KeralaReliefFund,injured_or_dead_people,kerala_floods_2018,test,set2,Critical Rescue,indiaforkerala chief minister pinarayi vijayan said 223 people lost their lives between august 8 and 20. here s how you can help keralaflood victims keralafloods keralafloodrelief keralarelieffund,196,27,Volunteering and Donations,False
1030773213561679872,"@pewdiepie Hey pewds, I know its lame, to ask help from a guy who has no relation with our place but, please help and donate as much as you can to the kerala flood relief fund. I promise you wont regret it. The death toll is upto 324 now. Do contribute. #KeralaFloodRelief",injured_or_dead_people,kerala_floods_2018,test,set2,Critical Rescue,"hey pewds, i know its lame, to ask help from a guy who has no relation with our place but, please help and donate as much as you can to the kerala flood relief fund. i promise you wont regret it. the death toll is upto 324 now. do contribute. keralafloodrelief",260,51,Volunteering and Donations,False
1107294128751235072,"We are saddened by the terrible news of deaths &amp; devastation in the Eastern Highlands, caused by #CycloneIdai. Our thoughts go out to those who lost loved ones &amp; property - and to those who are tirelessly trying to save lives &amp; belongings. The EU stands ready to assist! #EUinZim",injured_or_dead_people,cyclone_idai_2019,test,set1,Critical Rescue,"we are saddened by the terrible news of deaths and devastation in the eastern highlands, caused by cycloneidai. our thoughts go out to those who lost loved ones and property - and to those who are tirelessly trying to save lives and belongings. the eu stands ready to assist! euinzim",283,50,Irrelevant,False
1034686970843226112,"Actor, politician #NandamuriHarikrishna was killed in a road accident. His car hit the divider at Anneparthy in Nalgonda dist. and turned turtle Few days ago, the actor requested his followers to donate money to #KeralaFloodRelief than celebrating his birthday, which is on Sep 2",injured_or_dead_people,kerala_floods_2018,test,set2,Critical Rescue,"actor, politician nandamuriharikrishna was killed in a road accident. his car hit the divider at anneparthy in nalgonda dist. and turned turtle few days ago, the actor requested his followers to donate money to keralafloodrelief than celebrating his birthday, which is on sep 2",277,44,Volunteering and Donations,False
1108295538091454465,"My neighbors wife is missing after their home was swept away,” says #CycloneIdai survivor Reuben, who lost a field of maize and bananas due to flooding and torrential rains in Zimbabwe. #CycloneIdai",missing_or_found_people,cyclone_idai_2019,test,set1,Critical Rescue,"my neighbors wife is missing after their home was swept away, says cycloneidai survivor reuben, who lost a field of maize and bananas due to flooding and torrential rains in zimbabwe. cycloneidai",195,32,Situational Awareness,False
1109422090921353216,"MOZAMBIQUE FLOODS:: 557 DEAD, 1.7 MILLION STRANDED, CHOLERA OUTBREAK REPORTED A week after the flooded Mozambican port of Beira was hit by Cyclone Idai, cases of cholera have been recorded, a humanitarian aid group",injured_or_dead_people,cyclone_idai_2019,test,set1,Critical Rescue,"mozambique floods 557 dead, 1.7 million stranded, cholera outbreak reported a week after the flooded mozambican port of beira was hit by cyclone idai, cases of cholera have been recorded, a humanitarian aid group",212,34,Situational Awareness,False
1031151211305521153,"Kerala flood toll reaches 370, rescue operations continue #Floodrelief #KeralaReliefFund #KeralaFloods #KeralaFloodRelief #PinarayiVijayan @DefenceMinIndia @CMOKerala @SpokespersonMoD @indiannavy @DG_PIB @MIB_India @rajnathsingh @PIBTvpm @IAF_MCC",injured_or_dead_people,kerala_floods_2018,test,set2,Critical Rescue,"kerala flood toll reaches 370, rescue operations continue floodrelief keralarelieffund keralafloods keralafloodrelief pinarayivijayan",133,13,Volunteering and Donations,False
913171403649806341,RT @johnpaulfarmer: 2/ People are dying right now. Communication is impossible for many. Food &amp; even potable water are scarce in places. ht,injured_or_dead_people,hurricane_maria_2017,test,set1,Critical Rescue,2 people are dying right now. communication is impossible for many. food and even potable water are scarce in places. ht,120,21,Resource Requests,False
1031068712260911105,#Alapuzha #Kuthiyathodu urgent situation. People dead with bodies under water. Water was above 6ft yesterday. Locals saying no help arrived from anywhere yet! Please alert navy. #KeralaFloods #KeralaSOS @Forumkeralam1,injured_or_dead_people,kerala_floods_2018,test,set2,Critical Rescue,alapuzha kuthiyathodu urgent situation. people dead with bodies under water. water was above 6ft yesterday. locals saying no help arrived from anywhere yet! please alert navy. keralafloods keralasos,198,28,Resource Requests,False
1032306412804886534,The millions displaced really need your help so please do your bit for #KeralaFloodRelief over here  PLZ Retweet #KeralaFloods #Kerala #KeralaFlood #SaveKerala @CMOKerala @ShashiTharoor @TheNationalUAE @lululemon #MalayalamNews @RealWealthyMen @UN,displaced_people_and_evacuations,kerala_floods_2018,test,set2,Critical Rescue,the millions displaced really need your help so please do your bit for keralafloodrelief over here plz retweet keralafloods kerala keralaflood savekerala malayalamnews,167,23,Resource Requests,False
1106975792133783552,Saddened by loss of lives and damage caused by in #CycloneIdai in Eastern Zimbabwe.,injured_or_dead_people,cyclone_idai_2019,test,set1,Critical Rescue,saddened by loss of lives and damage caused by in cycloneidai in eastern zimbabwe.,82,14,Situational Awareness,False
1040545291810824192,"A Hispanic mother living in Wilmington, North Carolina, says she is concerned that if she evacuates her family to a Hurricane Florence shelter, she will be separated from her children by ICE.",displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,"a hispanic mother living in wilmington, north carolina, says she is concerned that if she evacuates her family to a hurricane florence shelter, she will be separated from her children by ice.",191,32,Irrelevant,False
721748920381140992,RT @shababaty: #EcuadorEarthquake First images of #Pedernales were 300Dead have been reported  via @teleamazonasec,injured_or_dead_people,ecuador_earthquake_2016,test,set1,Critical Rescue,ecuadorearthquake first images of pedernales were 300dead have been reported via,80,11,Situational Awareness,False
721824903670816768,"CNN Student News - 04/18/16: Earthquakes claim lives and homes in Ecuador and Japan, divers excav  #studentnews",injured_or_dead_people,ecuador_earthquake_2016,test,set1,Critical Rescue,"cnn student news - 04 18 16 earthquakes claim lives and homes in ecuador and japan, divers excav studentnews",108,19,Irrelevant,False
721959342895972352,"@BTS_twt is sad ὢD but..It would be really important if you guys say the same for my country ecuador.. We had an earthquake of 7.8, 200died",injured_or_dead_people,ecuador_earthquake_2016,test,set1,Critical Rescue,"is sad ὢd but..it would be really important if you guys say the same for my country ecuador.. we had an earthquake of 7.8, 200died",130,25,Irrelevant,False
1040194055332933632,"This morning, I spoke to @BillHemmer from @FoxNews about #HurricaneFlorence. My message: Listen to the evacuation notices and heed their warnings.",displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,"this morning, i spoke to from about hurricaneflorence. my message listen to the evacuation notices and heed their warnings.",123,19,Situational Awareness,False
1039867399716200448,RT @KaylandHagwood: Need shelter during #HurricaneFlorence ? Ridgeview HS in Columbia is open with food and water to help those in need! ht,displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,need shelter during hurricaneflorence ? ridgeview hs in columbia is open with food and water to help those in need! ht,118,21,Volunteering and Donations,False
914871795605323776,"RT @AmerQuarterly: After the Sept. 19 earthquake and resulting loss of life, anger with #Mexicos politicians has boiled over.",injured_or_dead_people,puebla_mexico_earthquake_2017,test,set1,Critical Rescue,"after the sept. 19 earthquake and resulting loss of life, anger with mexicos politicians has boiled over.",105,17,Situational Awareness,False
1039594366594166784,"Alright folks looks like this is not a drill. North and South Carolina start thinking about evacuation, gathering supplies. Research now before power goes out. Get a waterproof box for first aid and written notes.",displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,"alright folks looks like this is not a drill. north and south carolina start thinking about evacuation, gathering supplies. research now before power goes out. get a waterproof box for first aid and written notes.",213,35,Situational Awareness,False
1108860656294477824,"This is Fernando. His entire family is missing in #Beira, so he’s joined thousands of volunteers giving time and donations in #Maputo #humanchain #CycloneIdai #Mozambique @BBCNews",missing_or_found_people,cyclone_idai_2019,test,set1,Critical Rescue,"this is fernando. his entire family is missing in beira, so he s joined thousands of volunteers giving time and donations in maputo humanchain cycloneidai mozambique",165,26,Volunteering and Donations,False
907999782651809795,"Marriott rescue boat turned away non-guests stranded on Saint Thomas in wake of Hurricane Irma, tourists say",displaced_people_and_evacuations,hurricane_irma_2017,test,set1,Critical Rescue,"marriott rescue boat turned away non-guests stranded on saint thomas in wake of hurricane irma, tourists say",108,17,Volunteering and Donations,False
1040708955046125570,"Hurricane Florence kills 4, including infant, in North Carolina, officials say - CNN #HurricaneFlorence2018 Every Storm is different! WE MUST BE RESILIENT in the MIDST OF THE STORM, AND BY SO LISTEN TO YOUR STATE OFFICIALS UNTIL IT’S OVER! Blessings ᾘ5",injured_or_dead_people,hurricane_florence_2018,test,set2,Critical Rescue,"hurricane florence kills 4, including infant, in north carolina, officials say - cnn hurricaneflorence2018 every storm is different! we must be resilient in the midst of the storm, and by so listen to your state officials until it s over! blessings ᾐ5",251,42,Situational Awareness,False
908410622697627648,Checked on injured soldiers this morning ? Hope all are doing well,injured_or_dead_people,hurricane_irma_2017,test,set1,Critical Rescue,checked on injured soldiers this morning ? hope all are doing well,66,12,Irrelevant,False
783995674606047232,"80% of homes in one district of Haiti destroyed, as many as 22 people killed when Hurricane Matthew roared thru, now on course for SE U.S.",injured_or_dead_people,hurricane_matthew_2016,test,set1,Critical Rescue,"80 of homes in one district of haiti destroyed, as many as 22 people killed when hurricane matthew roared thru, now on course for se u.s.",137,26,Situational Awareness,False
783752281992769536,Hurricane Matthew triggers large-scale evacuations along US East Coast: Rescue workers in Haiti struggled to reach,displaced_people_and_evacuations,hurricane_matthew_2016,test,set1,Critical Rescue,hurricane matthew triggers large-scale evacuations along us east coast rescue workers in haiti struggled to reach,113,16,Volunteering and Donations,False
768569901753704448,"More than 159 earthquake victims.for the moment. These numbers make me crying, Im really sad! ὢ2#PrayForItaly ἞E἟9",injured_or_dead_people,italy_earthquake_aug_2016,test,set1,Critical Rescue,"more than 159 earthquake victims.for the moment. these numbers make me crying, im really sad! ὢ2prayforitaly e 9",112,18,Irrelevant,False
902634592355713025,"A Houston police officer died trying to get to work during Hurricane Harvey flooding, chief says",injured_or_dead_people,hurricane_harvey_2017,test,set1,Critical Rescue,"a houston police officer died trying to get to work during hurricane harvey flooding, chief says",96,16,Situational Awareness,False
903749827644841988,The Baker Dist team has had some employees displaced. Would you consider helping? Baker Hurricane Harvey Relief Fund,displaced_people_and_evacuations,hurricane_harvey_2017,test,set1,Critical Rescue,the baker dist team has had some employees displaced. would you consider helping? baker hurricane harvey relief fund,116,18,Volunteering and Donations,False
870252389672116224,Saddened to learn about the #SriLanka mishap. My thoughts with those who are injured &amp; condolences to families who lost loved ones!,injured_or_dead_people,srilanka_floods_2017,test,set1,Critical Rescue,saddened to learn about the srilanka mishap. my thoughts with those who are injured and condolences to families who lost loved ones!,132,22,Irrelevant,False
903372151545266177,@FUMCMcKinney is ready to diaper those precious displaced babies waiting in #dallas! #GodisLove is bigger than #harvey2017.,displaced_people_and_evacuations,hurricane_harvey_2017,test,set1,Critical Rescue,is ready to diaper those precious displaced babies waiting in dallas! godislove is bigger than harvey2017.,106,16,Irrelevant,False
1167495331975749632,Kim Campbell is happy that people will be killed in the process @AKimCampbell Former Canadian PM says shes rooting for a direct hit of Hurricane Dorian on Mar-a-Lago  #FoxNews,injured_or_dead_people,hurricane_dorian_2019,test,set2,Critical Rescue,kim campbell is happy that people will be killed in the process former canadian pm says shes rooting for a direct hit of hurricane dorian on mar-a-lago foxnews,159,28,Situational Awareness,False
1061295848426885120,"Nine souls lost, fires still raging, my state blanketed by smoke. Now is the time to promise to help ravaged neighborhoods and families in crisis.",injured_or_dead_people,california_wildfires_2018,test,set2,Critical Rescue,"nine souls lost, fires still raging, my state blanketed by smoke. now is the time to promise to help ravaged neighborhoods and families in crisis.",146,25,Volunteering and Donations,False
1168391555935363072,"Thank you to the Earth for the anniversary gift, an extended vacation ft. Hurricane Dorian evacuations.",displaced_people_and_evacuations,hurricane_dorian_2019,test,set2,Critical Rescue,"thank you to the earth for the anniversary gift, an extended vacation ft. hurricane dorian evacuations.",103,16,Irrelevant,False
1062122698254430208,"This is not the new normal, this is the new abnormal,” says California’s @JerryBrownGov of the Woolsey fires, which have killed 31 so far. Brown attributes the fires to climate change, adding that the chickens are coming home to roost. This is real”",injured_or_dead_people,california_wildfires_2018,test,set2,Critical Rescue,"this is not the new normal, this is the new abnormal, says california s of the woolsey fires, which have killed 31 so far. brown attributes the fires to climate change, adding that the chickens are coming home to roost. this is real",232,43,Irrelevant,False
1064480526596218881,RT @Reuters: Some California wildfire victims may never be found: searcher,missing_or_found_people,california_wildfires_2018,test,set2,Critical Rescue,some california wildfire victims may never be found searcher,60,9,Irrelevant,False
902851241683943424,"30 Americans have died. Ppl lost everything &amp; @potus is selling hats. Disgraceful. No leadership, no empathy. #HurricaneHarvey",injured_or_dead_people,hurricane_harvey_2017,test,set1,Critical Rescue,"30 americans have died. ppl lost everything and is selling hats. disgraceful. no leadership, no empathy. hurricaneharvey",120,17,Irrelevant,False
1062853167119888384,@realDonaldTrump So after 50 plus die and countless amounts of property and wildlife damage is done you finally talk to the Governor? But after you blamed him and California for the wildfires in the first place.,injured_or_dead_people,california_wildfires_2018,test,set2,Critical Rescue,so after 50 plus die and countless amounts of property and wildlife damage is done you finally talk to the governor? but after you blamed him and california for the wildfires in the first place.,194,35,Situational Awareness,False
1061358524897394688,"•The fires are NOT forest fires, they are *brush* fires. •The forests are *federal* forests and managed by the Trump Administration. •The fires aren’t even 5% contained. Meanwhile, as the death count rises, you avoid a few rain drops while disrespecting our troops/allies.",injured_or_dead_people,california_wildfires_2018,test,set2,Critical Rescue,"the fires are not forest fires, they are brush fires. the forests are federal forests and managed by the trump administration. the fires aren t even 5 contained. meanwhile, as the death count rises, you avoid a few rain drops while disrespecting our troops allies.",264,45,Situational Awareness,False
1064629965461774336,So much death and destruction: 40 percent of America has no concern about fires because it is a blue state. Ohio county GOP chair doubles down on Facebook post calling wildfires Gods punishment to liberal California,injured_or_dead_people,california_wildfires_2018,test,set2,Critical Rescue,so much death and destruction 40 percent of america has no concern about fires because it is a blue state. ohio county gop chair doubles down on facebook post calling wildfires gods punishment to liberal california,214,36,Irrelevant,False
